,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,features_used,last_login_days_ago,monthly_fee,total_revenue,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,csat_score,escalations,survey_response,referral_count,churn
0,SME,22,Web,Monthly,26,7,5,2.0794415416798357,30,6.493753839851686,1,Yes,No,4,13.354359704932143,4.0,0,Satisfied,1,0
1,Individual,9,Mobile,Monthly,7,5,1,1.0986122886681098,30,5.602118820879701,1,No,Yes,1,25.14008841258968,2.0,0,Neutral,2,1
2,SME,58,Web,Yearly,19,5,6,3.1780538303479458,20,7.057036981697891,2,No,No,1,27.57292845215133,3.0,0,Neutral,1,0
3,Individual,19,Mobile,Yearly,34,7,2,3.2188758248682006,30,6.3473892096560105,0,Yes,No,3,26.420822304921717,5.0,1,Neutral,0,0
4,Individual,52,Web,Monthly,20,6,2,1.0986122886681098,50,7.8636512654486515,0,No,No,0,26.674579176744228,4.0,0,Unsatisfied,1,0
5,Individual,54,Mobile,Monthly,1,3,2,3.044522437723423,50,7.901377353792616,0,No,No,0,36.03839117141806,4.0,1,Neutral,1,0
6,SME,54,Mobile,Monthly,21,4,6,2.6390573296152584,20,6.985641817639208,0,No,No,1,36.89292842033735,4.0,0,Neutral,1,0
7,Individual,7,Referral,Yearly,17,7,8,2.0794415416798357,20,4.948759890378168,0,Yes,No,2,25.02413250808525,4.0,1,Satisfied,1,0
8,SME,15,Referral,Monthly,29,4,6,2.6390573296152584,30,6.111467339502679,0,No,No,1,32.46553558480596,2.0,0,Satisfied,0,0
9,Individual,17,Mobile,Monthly,18,5,3,0.0,30,6.236369590203704,0,No,No,1,42.98619185872065,4.0,0,Neutral,1,0
10,Individual,46,Referral,Yearly,31,6,7,3.332204510175204,30,7.2305631534092925,1,No,No,2,11.368769460848384,5.0,0,Neutral,1,0
11,Enterprise,14,Web,Monthly,24,2,6,2.302585092994046,20,5.638354669333745,0,No,Yes,2,49.72450588691105,4.0,0,Satisfied,0,0
13,Individual,48,Referral,Monthly,19,6,4,1.6094379124341003,30,7.273092595999522,1,No,Yes,1,26.91982224732825,3.0,0,Neutral,0,0
15,Enterprise,14,Mobile,Monthly,14,2,4,3.044522437723423,20,5.638354669333745,1,No,No,0,42.7623883351522,4.0,0,Satisfied,1,0
17,Individual,3,Referral,Yearly,9,0,7,0.0,70,5.351858133476067,1,Yes,No,2,41.268949169905504,3.0,0,Satisfied,2,0
18,Individual,3,Web,Yearly,21,7,7,0.0,30,4.51085950651685,0,Yes,Yes,1,40.22396316663823,4.0,0,Satisfied,2,0
19,Individual,11,Web,Monthly,22,1,2,0.0,10,4.709530201312334,0,No,No,4,15.011731251479317,3.0,1,Neutral,2,0
22,SME,55,Web,Quarterly,21,5,3,1.0986122886681098,70,8.25608813381491,0,Yes,No,2,22.11248788096376,4.0,1,Satisfied,0,0
23,Individual,29,Referral,Monthly,23,2,3,2.833213344056216,30,6.769641976852503,1,No,No,0,7.510576743122932,4.0,0,Satisfied,0,0
